,name,offer,delivery_fee,delivery_time,rating,cuisine,url,num_reviews,address
0,Wendy's (650 Broadway), ,$0.99,30–45 Min,4.2,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-650-broadway/q2rJdGeDT5-THX3wUUNa1A,( ),
1,Bluestone Lane (51 Astor Pl), ,$1.99,35–50 Min,4.7,Breakfast and Brunch • Coffee and Tea • Healthy • Australian,https://www.ubereats.com/new-york/food-delivery/bluestone-lane-51-astor-pl/9I6pEZBESNqBXhxvrNeZqQ,( ),
2,Murray's Bagels - Greenwich Village, ,$3.99,40–55 Min,4.8,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/murrays-bagels-greenwich-village/bNRj74IbQHOrRI7lH0ehYw,( ),
3,La Parisienne - FiDi, ,$0.99,20–35 Min,5.0,French • Cafe • Healthy,https://www.ubereats.com/new-york/food-delivery/la-parisienne-fidi/lJhNCae0RKWzgan9uQxvEA,( ),
4,Red Mango - FiDi, ,$1.99,30–45 Min,4.8,Desserts,https://www.ubereats.com/new-york/food-delivery/red-mango-fidi/t1DRWtsUQa6O9JF2GAt2bg,( ),
5,The Bean,"Spend $10, Save $2",$1.99,30–40 Min,New,Coffee and Tea • American • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/the-bean/8gxBvd2BSnen0mGABTlwxw,( ),
6,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
7,Prime Burger Lounge,"Spend $10, Save $2",$1.99,30–40 Min,4.0,Burgers • American • Sandwiches • Desserts,https://www.ubereats.com/new-york/food-delivery/prime-burger-lounge/ECFFeV7-ROCrNNcj4fYPRw,( ),
8,Mia's Breakfast Bar,"Spend $10, Save $2",$1.99,25–35 Min,New,Breakfast and Brunch • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/mias-breakfast-bar/ioNuQqswRdG1RTjdNvpIgw,( ),
9,Pasticceria Rocco - Bleecker St,Free Item (Spend $40),$0.99,25–35 Min,New,Breakfast and Brunch • Pastry • Bakery • Sandwich • Cafe • Burgers • Desserts • Fast Food • American • Comfort Food,https://www.ubereats.com/new-york/food-delivery/pasticceria-rocco-bleecker-st/r5bskOiVQu6KFEqjbRlY9A,( ),
10,Ice Cream Parlor,"Spend $15, Save $3",$0.99,20–30 Min,New,Ice Cream & Frozen Yogurt • Comfort Food • Desserts,https://www.ubereats.com/new-york/food-delivery/ice-cream-parlor/KwaU5birT-yAyRmeh-Disw,( ),
11,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
12,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
13,Leo’s Bagels, ,$1.99,20–30 Min,4.7,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/leos-bagels/yWYPv0ObSsK7uVN5qEpN_A,( ),
14,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
15,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
16,Playa Bowls (Macdougal), ,$3.99,20–30 Min,4.8,Healthy • Desserts • Vegetarian Friendly • Family Meals,https://www.ubereats.com/new-york/food-delivery/playa-bowls-macdougal/R5ifZMrwR-CE6qnVykf7AQ,( ),
17,Leo’s Bagels, ,$1.99,20–30 Min,4.7,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/leos-bagels/yWYPv0ObSsK7uVN5qEpN_A,( ),
18,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
19,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
20,Playa Bowls (Macdougal), ,$3.99,20–30 Min,4.8,Healthy • Desserts • Vegetarian Friendly • Family Meals,https://www.ubereats.com/new-york/food-delivery/playa-bowls-macdougal/R5ifZMrwR-CE6qnVykf7AQ,( ),
21,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
22,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
23,Ice Cream Parlor,"Spend $15, Save $3",$0.99,20–30 Min,New,Ice Cream & Frozen Yogurt • Comfort Food • Desserts,https://www.ubereats.com/new-york/food-delivery/ice-cream-parlor/KwaU5birT-yAyRmeh-Disw,( ),
24,Dunkin' (52 E 8th St),$0 Delivery Fee (Spend $10),$1.99,20–30 Min,New,Breakfast & Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-52-e-8th-st/NW4IPeELTYK6LQwnK0KGbA,( ),
25,The Ice Cream Shop, ,$0.99,20–30 Min,New,Desserts • Ice Cream and Frozen Yogurt,https://www.ubereats.com/new-york/food-delivery/the-ice-cream-shop/o26crygCSXqsZknWbBx_FQ,( ),
26,The Hot Italian, ,$1.99,30–40 Min,New,Burgers • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/the-hot-italian/kd9iFWwUSfqRJ2bzGh9wXQ,( ),
27,Le Basket, ,$0.99,20–30 Min,New,Sushi • Asian • Japanese,https://www.ubereats.com/new-york/food-delivery/le-basket/RFjKXtlJT_qf-nfo9hYO6Q,( ),
28,Bagel Express - 3rd Ave., ,$2.99,35–45 Min,New,American • Breakfast and Brunch • Salads,https://www.ubereats.com/new-york/food-delivery/bagel-express-3rd-ave/0hnEqS8sQJm4bDw-l8YEYA,( ),
29,Clinton Street Baking Co., ,$1.99,30–40 Min,4.7,American • Breakfast and Brunch • Desserts,https://www.ubereats.com/new-york/food-delivery/clinton-street-baking-co/lm3ZlHXtQXqNJ4dkt9AEnw,( ),
30,Shake Shack (23rd and Madison Avenue), ,$2.99,25–35 Min,4.5,American • Burgers,https://www.ubereats.com/new-york/food-delivery/shake-shack-23rd-and-madison-avenue/rAVqozT5QfWcME8nNy_WRQ,( ),
31,Subway (11 BROADWAY UNIT 155), ,$2.99,20–30 Min,New,Fast Food • Sandwich • American,https://www.ubereats.com/new-york/food-delivery/subway-11-broadway-unit-155/dMbSkAEWSemc6SEtfyct2g,( ),
32,McDonald's® - FiDi (160 Broadway), ,$1.99,10–20 Min,4.4,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-fidi-160-broadway/Cn7rm31RTym93cHeWFUSow,( ),
33,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
34,Panera (10 Union Square East),"Spend $15, Save $5",$1.99,30–40 Min,4.4,Breakfast and Brunch • salad • Sandwich • Family Meals,https://www.ubereats.com/new-york/food-delivery/panera-10-union-square-east/o7_EwuTuQ9K68-GO4syKvQ,( ),
35,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
36,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
37,Burger King (106 Liberty Street),$0 Delivery Fee (Spend $15),$1.99,15–25 Min,4.4,American • burger • Fast Food,https://www.ubereats.com/new-york/food-delivery/burger-king-106-liberty-street/uRBg5on7TECIyBd8pH3ZxQ,( ),
38,Taco Bell (224 7th Ave), ,$2.99,20–30 Min,New,Burritos • Fast Food • Mexican,https://www.ubereats.com/new-york/food-delivery/taco-bell-224-7th-ave/cdPb81aEQ2eMdBORzzRQ5w,( ),
39,Starbucks® (100 Williams Street),$0 Delivery Fee,$1.99,10–20 Min,4.7,Cafe • Coffee & Tea • Breakfast and Brunch • Bakery,https://www.ubereats.com/new-york/food-delivery/starbucks-100-williams-street/iye2Zq1_Ra2sXhp2LZcCYA,( ),
40,Dunkin' (122 Fulton St),$0 Delivery Fee (Spend $10),$0.99,10–20 Min,4.1,Breakfast and Brunch • Donuts,https://www.ubereats.com/new-york/food-delivery/dunkin-122-fulton-st/NQM0fC7tQ12rAQ3Gkp6Kzw,( ),
41,McDonald's® - West Village (Varick & Downing St), ,$2.99,15–25 Min,4.5,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/mcdonalds-west-village-varick-%26-downing-st/vzioEVUtRDSaZXyfswAwgQ,( ),
42,Tribeca Bagels (Canal St), ,$0.99,10–20 Min,New,Deli • Sandwich • Bakery,https://www.ubereats.com/new-york/food-delivery/tribeca-bagels-canal-st/78J_2QCZQG6L5GAiK0OleQ,( ),
43,Wendy's (85 Nassau Street), ,$0.99,15–25 Min,4.3,American • Burgers • Fast Food • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/wendys-85-nassau-street/GhQE14RLT3ydmua-G5XOag,( ),
44,Clinton Street Baking Co., ,$1.99,30–40 Min,4.7,American • Breakfast and Brunch • Desserts,https://www.ubereats.com/new-york/food-delivery/clinton-street-baking-co/lm3ZlHXtQXqNJ4dkt9AEnw,( ),
45,Yin Ji Chang Fen 银记肠粉, ,$0.99,20–30 Min,4.9,Chinese • Asian • CongeeBoilRice • Cantonese • Coffee and Tea • Rolls,https://www.ubereats.com/new-york/food-delivery/yin-ji-chang-fen-%E9%93%B6%E8%AE%B0%E8%82%A0%E7%B2%89/z3iKACALS4WUnt8C-7WG9A,( ),
46,Bluestone Lane (51 Astor Pl), ,$1.99,35–50 Min,4.7,Breakfast and Brunch • Coffee and Tea • Healthy • Australian,https://www.ubereats.com/new-york/food-delivery/bluestone-lane-51-astor-pl/9I6pEZBESNqBXhxvrNeZqQ,( ),
47,Village Breakfast Snob,"Spend $10, Save $2",$1.99,20–30 Min,4.4,Breakfast and Brunch • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/village-breakfast-snob/x5rYwKtsQMa0qoCzSo738Q,( ),
48,Subway (30 BROAD ST), ,$1.99,25–35 Min,4.2,Fast Food • Sandwich • American,https://www.ubereats.com/new-york/food-delivery/subway-30-broad-st/cqEJA7LIT_WmIJXmKxuUDg,( ),
49,Burger King (146 Delancey Street),$0 Delivery Fee (Spend $15),$0.99,25–35 Min,4.3,American • Fast Food • Burgers,https://www.ubereats.com/new-york/food-delivery/burger-king-146-delancey-street/4TjjEhLaQ-2wQolDJbhBJA,( ),
50,Flowers Cafe, ,$0,25–45 Min,4.5,American • Salads • Sandwich • Breakfast and Brunch • Vegetarian Friendly,https://www.ubereats.com/new-york/food-delivery/flowers-cafe/KJpvvJI1TLGJMqEcOfSrnA,( ),
51,Zucker's Bagels & Smoked Fish - Tribeca, ,$1.99,15–25 Min,4.5,American • Bakery,https://www.ubereats.com/new-york/food-delivery/zuckers-bagels-%26-smoked-fish-tribeca/2y22EW36SFacSbWlZXVE-g,( ),
52,La Parisienne - FiDi, ,$0.99,20–35 Min,5.0,French • Cafe • Healthy,https://www.ubereats.com/new-york/food-delivery/la-parisienne-fidi/lJhNCae0RKWzgan9uQxvEA,( ),
53,Pause Cafe - LES, ,$1.99,30–40 Min,4.7,Breakfast and Brunch • American • Coffee and Tea • Desserts,https://www.ubereats.com/new-york/food-delivery/pause-cafe-les/e-yrWTRMT6aJFh0W3frl8w,( ),
54,Joe & The Juice (67 Wall Street),"Spend $15, Save $3",$0.99,25–35 Min,4.8,Healthy • Juice and Smoothies • Cafe,https://www.ubereats.com/new-york/food-delivery/joe-%26-the-juice-67-wall-street/1DXyoRsrRyaS91gRTHwD7g,( ),
55,Juice Generation - Union Square,"Buy 1, Get 1 Free",$3.99,25–35 Min,4.9,Juice and Smoothies • Healthy • Gluten Free Friendly • Vegan,https://www.ubereats.com/new-york/food-delivery/juice-generation-union-square/x4uVu0u4SEWuzNjo6B0a6g,( ),
56,Marie Blachère, ,$0.99,25–35 Min,4.7,Pastry • Breakfast and Brunch • Desserts,https://www.ubereats.com/new-york/food-delivery/marie-blachere/2iCrz6KOS8CzAeZGjVDeqg,( ),
57,El Castillo De Jagua, ,$0.99,30–40 Min,4.7,Spanish • Seafood • Mediterranean,https://www.ubereats.com/new-york/food-delivery/el-castillo-de-jagua/ng1jRCsLR1G4jKTLOK7gjQ,( ),
58,Baz Bagel, ,$0.99,15–25 Min,New,Breakfast and Brunch • American • Sandwiches • Allergy Friendly,https://www.ubereats.com/new-york/food-delivery/baz-bagel/sBuDbtbqQRa4b5lGRjt85Q,( ),
59,Playa Bowls (Macdougal), ,$3.99,20–30 Min,4.8,Healthy • Desserts • Vegetarian Friendly • Family Meals,https://www.ubereats.com/new-york/food-delivery/playa-bowls-macdougal/R5ifZMrwR-CE6qnVykf7AQ,( ),
60,Doughnut Plant - Lower East Side, ,$2.99,25–35 Min,4.5,Bakery • Desserts • American,https://www.ubereats.com/new-york/food-delivery/doughnut-plant-lower-east-side/GcndczNFSKejBFaUYt8qcA,( ),
61,Cheeky Sandwiches, ,$0,30–40 Min,4.6,Sandwiches • American • Healthy,https://www.ubereats.com/new-york/food-delivery/cheeky-sandwiches/5MbcoMiaR_ysVyw8fP3Zpg,( ),
62,Red Mango - FiDi, ,$1.99,30–45 Min,4.8,Desserts,https://www.ubereats.com/new-york/food-delivery/red-mango-fidi/t1DRWtsUQa6O9JF2GAt2bg,( ),
63,The Pancake Spot, ,$2.99,25–35 Min,4.2,Breakfast and Brunch • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/the-pancake-spot/OPovUotxQcub8DHUSJXTuQ,( ),
64,The Best Of NY, ,$2.50,15–35 Min,4.6,Sandwiches • American • Healthy,https://www.ubereats.com/new-york/food-delivery/the-best-of-ny/Vo6z_zjQSaaNnnCc-JvgbQ,( ),
65,Murray's Bagels - Greenwich Village, ,$3.99,40–55 Min,4.8,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/murrays-bagels-greenwich-village/bNRj74IbQHOrRI7lH0ehYw,( ),
66,The Butcher's Daughter - Nolita, ,$0.99,25–35 Min,4.5,Breakfast and Brunch • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/the-butchers-daughter-nolita/zJTkztlbTqil0WdAOZursQ,( ),
67,Stamina Grill & Juice Bar - FiDi,"Buy 1, Get 1 Free",$0.99,15–25 Min,4.5,Sandwich • Juice and Smoothies • Healthy,https://www.ubereats.com/new-york/food-delivery/stamina-grill-%26-juice-bar-fidi/dXQJenXyTQiOP5VtMkkWpg,( ),
68,Panera (10 Union Square East),"Spend $15, Save $5",$1.99,30–40 Min,4.4,Breakfast and Brunch • salad • Sandwich • Family Meals,https://www.ubereats.com/new-york/food-delivery/panera-10-union-square-east/o7_EwuTuQ9K68-GO4syKvQ,( ),
69,Le Petit Parisien - East Village,"Buy 1, Get 1 Free",$3.99,30–40 Min,4.6,Sandwich • French • Bakery,https://www.ubereats.com/new-york/food-delivery/le-petit-parisien-east-village/O90JvLn3SueHAFDhKyhmug,( ),
70,David Bagel, ,$2.99,25–35 Min,4.8,Breakfast and Brunch • Sandwich,https://www.ubereats.com/new-york/food-delivery/david-bagel/c-HIC3NZTh25YsQwxQK6pA,( ),
71,Bleecker's Finest Deli, ,$0.99,20–30 Min,4.3,Burgers • American • Sandwiches • Grocery • Convenience • Everyday Essentials,https://www.ubereats.com/new-york/food-delivery/bleeckers-finest-deli/O9X-DPrnSP25WoRYRBDKag,( ),
72,Faicco's Italian Specialties, ,$1.99,25–35 Min,4.9,Italian • Sandwich • Deli,https://www.ubereats.com/new-york/food-delivery/faiccos-italian-specialties/4Y6RZ_hySGWMjq7NAQDUGQ,( ),
73,B Cup Cafe - East Village,"Spend $15, Save $3",$1.99,20–30 Min,4.8,Juice and Smoothies • Sandwich • Salads,https://www.ubereats.com/new-york/food-delivery/b-cup-cafe-east-village/EdjoHcy9Rm6Gaep-TXcr4Q,( ),
74,George's New York, ,$0.99,15–25 Min,4.9,Burgers • American • Sandwiches,https://www.ubereats.com/new-york/food-delivery/georges-new-york/pj7t1SQ-R2KVc2cmqhYH7Q,( ),
75,Katz's Delicatessen, ,$1.99,25–35 Min,4.7,Deli • Sandwich • Jewish,https://www.ubereats.com/new-york/food-delivery/katzs-delicatessen/UO5j9laHQCOtgD3H8yWjBw,( ),
76,Benvenuto Cafe - Tribeca, ,$1.99,20–30 Min,4.7,Sandwiches • American • Healthy,https://www.ubereats.com/new-york/food-delivery/benvenuto-cafe-tribeca/5-YuDP-dQX-jZ8CYXQYRaQ,( ),
77,Squire's Diner, ,$0.99,15–25 Min,4.1,Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/squires-diner/aPq2WAeeQX2xq_Df04UgFA,( ),
78,Pure Green 8th St.(Greenwich), ,$3.99,20–30 Min,4.6,Healthy • Breakfast and Brunch • Juice and Smoothies • Vegetarian,https://www.ubereats.com/new-york/food-delivery/pure-green-8th-stgreenwich/e8anKdQgRQKr5GLHlY34dQ,( ),
79,Michaeli Bakery, ,$0.99,20–30 Min,5.0,Desserts • Pastry • Bakery,https://www.ubereats.com/new-york/food-delivery/michaeli-bakery/0mT4oq7YTp6XC_Rpz8dAvw,( ),
80,Zafis Luncheonette - LES, ,$0.99,30–40 Min,4.3,Diner • Breakfast and Brunch • Burgers,https://www.ubereats.com/new-york/food-delivery/zafis-luncheonette-les/-VDewOpIRMe4mh2tNVzVCw,( ),
81,Pressed Juicery- Lafayette, ,$1.99,25–35 Min,4.9,Juice and Smoothies • Healthy,https://www.ubereats.com/new-york/food-delivery/pressed-juicery-lafayette/p0R7Ed3yRN-mZWu-rUr17A,( ),
82,Kitchen Sink - East Village, ,$2.99,20–30 Min,4.5,Diner • American • Juice and Smoothies,https://www.ubereats.com/new-york/food-delivery/kitchen-sink-east-village/YQFQbOwDRLGoPEe2f4oNlQ,( ),
83,Benares - Tribeca, ,$0.99,25–35 Min,4.7,Indian • Vegetarian • Vegan,https://www.ubereats.com/new-york/food-delivery/benares-tribeca/GQQq_si7RUi6Gl11sJWnUg,( ),
84,NY Grill - East Village, ,$1.99,20–30 Min,4.6,Breakfast and Brunch • Sandwich • Desserts,https://www.ubereats.com/new-york/food-delivery/ny-grill-east-village/6kekkR3aTWSePQr_aC93cQ,( ),
85,The Butcher's Daughter - West Village, ,$2.99,25–35 Min,4.4,Vegetarian • Vegan • Healthy • Breakfast and Brunch,https://www.ubereats.com/new-york/food-delivery/the-butchers-daughter-west-village/v-eqHAjMS6W8SfkELruzJQ,( ),
86,Empanada Mama LES, ,$1.99,25–35 Min,4.6,Breakfast and Brunch • Sandwich • Latin American,https://www.ubereats.com/new-york/food-delivery/empanada-mama-les/Dgzi8PfTQPmVp6t_THTYhQ,( ),
87,Leo’s Bagels, ,$1.99,20–30 Min,4.7,Breakfast and Brunch • Sandwich • Salads • Desserts,https://www.ubereats.com/new-york/food-delivery/leos-bagels/yWYPv0ObSsK7uVN5qEpN_A,( ),
